Date;hour;air_temp;W
13-janv-21;11;4;W
13-janv-21;12;5;W
13-janv-21;13;6;W
13-janv-21;14;6;W
13-janv-21;15;5;W
13-janv-21;16;3;W
13-janv-21;17;2;W
13-janv-21;18;2;W
13-janv-21;19;1;W
13-janv-21;20;1;W
13-janv-21;21;0;W
13-janv-21;22;0;W
13-janv-21;23;0;W
14-janv-21;0;0;W
14-janv-21;1;0;W
14-janv-21;2;0;W
14-janv-21;3;0;W
14-janv-21;4;0;W
14-janv-21;5;0;W
14-janv-21;6;0;W
14-janv-21;7;0;W
14-janv-21;8;0;W
14-janv-21;9;3;W
14-janv-21;10;5;W
14-janv-21;11;6;W
14-janv-21;12;7;W
14-janv-21;13;7;W
14-janv-21;14;7;W
14-janv-21;15;6;W
14-janv-21;16;5;W
14-janv-21;17;3;W
14-janv-21;18;2;W
14-janv-21;19;1;W
14-janv-21;20;0;W
14-janv-21;21;0;W
14-janv-21;22;-1;W
14-janv-21;23;-1;W
15-janv-21;0;-1;WE
15-janv-21;1;-1;WE
15-janv-21;2;-1;WE
15-janv-21;3;-1;WE
15-janv-21;4;-1;WE
15-janv-21;5;-1;WE
15-janv-21;6;-1;WE
15-janv-21;7;-1;WE
15-janv-21;8;-1;WE
15-janv-21;9;1;WE
15-janv-21;10;2;WE
15-janv-21;11;4;WE
15-janv-21;12;5;WE
15-janv-21;13;5;WE
15-janv-21;14;5;WE
15-janv-21;15;4;WE
15-janv-21;16;2;WE
15-janv-21;17;2;WE
15-janv-21;18;1;WE
15-janv-21;19;1;WE
15-janv-21;20;1;WE
15-janv-21;21;1;WE
15-janv-21;22;1;WE
15-janv-21;23;0;WE
16-janv-21;0;0;WE
16-janv-21;1;0;WE
16-janv-21;2;0;WE
16-janv-21;3;0;WE
16-janv-21;4;0;WE
16-janv-21;5;1;WE
16-janv-21;6;1;WE
16-janv-21;7;1;WE
16-janv-21;8;1;WE
16-janv-21;9;2;WE
16-janv-21;10;2;WE
16-janv-21;11;2;WE
16-janv-21;12;2;WE
16-janv-21;13;2;WE
16-janv-21;14;2;WE
16-janv-21;15;2;WE
16-janv-21;16;2;WE
16-janv-21;17;2;WE
16-janv-21;18;2;WE
16-janv-21;19;2;WE
16-janv-21;20;2;WE
16-janv-21;21;2;WE
16-janv-21;22;2;WE
16-janv-21;23;3;WE
17-janv-21;0;3;W
17-janv-21;1;3;W
17-janv-21;2;3;W
17-janv-21;3;3;W
17-janv-21;4;3;W
17-janv-21;5;3;W
17-janv-21;6;3;W
17-janv-21;7;4;W
17-janv-21;8;4;W
17-janv-21;9;4;W
17-janv-21;10;4;W
17-janv-21;11;4;W
17-janv-21;12;4;W
17-janv-21;13;5;W
17-janv-21;14;5;W
17-janv-21;15;5;W
17-janv-21;16;5;W
17-janv-21;17;5;W
17-janv-21;18;5;W
17-janv-21;19;5;W
17-janv-21;20;5;W
17-janv-21;21;5;W
17-janv-21;22;5;W
17-janv-21;23;4;W
18-janv-21;0;4;W
18-janv-21;1;4;W
18-janv-21;2;4;W
18-janv-21;3;4;W
18-janv-21;4;4;W
18-janv-21;5;4;W
18-janv-21;6;4;W
18-janv-21;7;4;W
18-janv-21;8;4;W
18-janv-21;9;5;W
18-janv-21;10;5;W
18-janv-21;11;6;W
18-janv-21;12;7;W
18-janv-21;13;7;W
18-janv-21;14;7;W
18-janv-21;15;6;W
18-janv-21;16;6;W
18-janv-21;17;5;W
18-janv-21;18;4;W
18-janv-21;19;3;W
18-janv-21;20;2;W
18-janv-21;21;1;W
18-janv-21;22;0;W
18-janv-21;23;0;W
19-janv-21;0;0;W
19-janv-21;1;-1;W
19-janv-21;2;-1;W
19-janv-21;3;0;W
19-janv-21;4;1;W
19-janv-21;5;1;W
19-janv-21;6;2;W
19-janv-21;7;2;W
19-janv-21;8;2;W
19-janv-21;9;2;W
19-janv-21;10;2;W
19-janv-21;11;3;W
19-janv-21;12;3;W
19-janv-21;13;3;W
19-janv-21;14;3;W
19-janv-21;15;3;W
19-janv-21;16;3;W
19-janv-21;17;3;W
19-janv-21;18;3;W
